Id,2015medianhousevalue,2014medianhousevalue,,percentchange
1500000US220710001001,329200,306300,22900,6.956257594
1500000US220710001002,235400,244400,-9000,-3.823279524
1500000US220710001003,228200,231800,-3600,-1.577563541
1500000US220710002001,122900,130600,-7700,-6.265256306
1500000US220710002002,174400,154200,20200,11.58256881
1500000US220710003001,90000,88500,1500,1.666666667
1500000US220710003002,120500,129700,-9200,-7.634854772
1500000US220710004001,162500,119400,43100,26.52307692
1500000US220710004002,110400,94800,15600,14.13043478
1500000US220710006011,-,-,,
1500000US220710006012,-,-,,
1500000US220710006021,96600,99000,-2400,-2.48447205
1500000US220710006022,94400,92400,2000,2.118644068
1500000US220710006023,125000,107900,17100,13.68
1500000US220710006031,108900,125000,-16100,-14.78420569
1500000US220710006032,75000,75000,0,0
1500000US220710006041,123800,127700,-3900,-3.150242326
1500000US220710006042,125300,138000,-12700,-10.13567438
1500000US220710006043,110600,113000,-2400,-2.169981917
1500000US220710006051,97300,99600,-2300,-2.363823227
1500000US220710006052,102800,89600,13200,12.84046693
1500000US220710006053,90000,60000,30000,33.33333333
1500000US220710006061,158000,155900,2100,1.329113924
1500000US220710006062,154900,150900,4000,2.582311168
1500000US220710006063,170500,166500,4000,2.346041056
1500000US220710006071,195900,193400,2500,1.276161307
1500000US220710006072,179900,183000,-3100,-1.723179544
1500000US220710006073,154900,156600,-1700,-1.097482247
1500000US220710006111,119400,108900,10500,8.793969849
1500000US220710006112,110200,106500,3700,3.35753176
1500000US220710006121,499100,497500,1600,0.320577039
1500000US220710006131,254300,212900,41400,16.27998427
1500000US220710006132,131600,217500,-85900,-65.27355623
1500000US220710006133,-,-,,
1500000US220710006151,161900,143800,18100,11.17974058
1500000US220710006161,139900,137000,2900,2.072909221
1500000US220710006162,159100,168500,-9400,-5.908233815
1500000US220710006163,175000,194900,-19900,-11.37142857
1500000US220710006171,-,-,,
1500000US220710006172,131800,121900,9900,7.51138088
1500000US220710006181,249400,249200,200,0.080192462
1500000US220710006182,196900,194000,2900,1.472828847
1500000US220710007011,-,-,,
1500000US220710007012,130400,95600,34800,26.68711656
1500000US220710007013,146300,150000,-3700,-2.529049897
1500000US220710007014,134700,90000,44700,33.18485523
1500000US220710007021,90000,88600,1400,1.555555556
1500000US220710007022,111800,122700,-10900,-9.749552773
1500000US220710007023,131800,56300,75500,57.28376328
1500000US220710007024,160800,153800,7000,4.353233831
1500000US220710008001,118800,98800,20000,16.83501684
1500000US220710008002,214400,121400,93000,43.37686567
1500000US220710008003,126500,91400,35100,27.74703557
1500000US220710009012,134400,92000,42400,31.54761905
1500000US220710009013,139100,-,,
1500000US220710009021,131300,112500,18800,14.31835491
1500000US220710009022,110900,111400,-500,-0.450856628
1500000US220710009023,105100,106900,-1800,-1.712654615
1500000US220710009024,112500,34800,77700,69.06666667
1500000US220710009031,178100,255800,-77700,-43.62717574
1500000US220710009032,85500,79400,6100,7.134502924
1500000US220710009041,154700,135100,19600,12.66968326
1500000US220710009042,106500,94200,12300,11.54929577
1500000US220710011001,125000,117600,7400,5.92
1500000US220710011002,273000,243000,30000,10.98901099
1500000US220710011003,-,-,,
1500000US220710012001,260300,214800,45500,17.47983096
1500000US220710012002,300000,194000,106000,35.33333333
1500000US220710012003,333500,301000,32500,9.745127436
1500000US220710013011,121900,150400,-28500,-23.37981952
1500000US220710013012,285600,276000,9600,3.361344538
1500000US220710013013,128100,155900,-27800,-21.70179547
1500000US220710013014,122200,119200,3000,2.454991817
1500000US220710013021,121300,88800,32500,26.79307502
1500000US220710013022,131900,131900,0,0
1500000US220710014011,157500,137500,20000,12.6984127
1500000US220710014012,131900,139500,-7600,-5.761940864
1500000US220710014013,90200,72100,18100,20.06651885
1500000US220710014014,74500,72500,2000,2.684563758
1500000US220710014015,55400,56600,-1200,-2.166064982
1500000US220710014016,78900,77300,1600,2.027883397
1500000US220710014021,122500,110600,11900,9.714285714
1500000US220710014022,201700,169800,31900,15.81556767
1500000US220710014023,89400,156800,-67400,-75.39149888
1500000US220710014024,101700,100900,800,0.786627335
1500000US220710015001,97800,150300,-52500,-53.6809816
1500000US220710015002,158500,121400,37100,23.40694006
1500000US220710016001,-,-,,
1500000US220710017011,140100,140900,-800,-0.5710207
1500000US220710017012,176600,156800,19800,11.21177803
1500000US220710017013,160400,165200,-4800,-2.992518703
1500000US220710017021,134800,128500,6300,4.673590504
1500000US220710017022,137200,146200,-9000,-6.559766764
1500000US220710017023,119900,121500,-1600,-1.334445371
1500000US220710017024,138100,126300,11800,8.544532947
1500000US220710017201,132300,125000,7300,5.517762661
1500000US220710017202,152000,155300,-3300,-2.171052632
1500000US220710017203,146000,161100,-15100,-10.34246575
1500000US220710017204,98300,108600,-10300,-10.47812818
1500000US220710017221,138900,97600,41300,29.73362131
1500000US220710017222,127100,98300,28800,22.65932337
1500000US220710017223,145800,125000,20800,14.26611797
1500000US220710017224,156300,158400,-2100,-1.343570058
1500000US220710017225,146100,144300,1800,1.232032854
1500000US220710017226,96000,99600,-3600,-3.75
1500000US220710017227,117500,109200,8300,7.063829787
1500000US220710017231,151200,148900,2300,1.521164021
1500000US220710017232,146000,154000,-8000,-5.479452055
1500000US220710017233,144300,130700,13600,9.424809425
1500000US220710017234,138000,138100,-100,-0.072463768
1500000US220710017241,175000,164600,10400,5.942857143
1500000US220710017242,168900,166500,2400,1.420959147
1500000US220710017243,116100,115400,700,0.60292851
1500000US220710017244,162500,163800,-1300,-0.8
1500000US220710017251,130000,137600,-7600,-5.846153846
1500000US220710017252,142300,141900,400,0.281096275
1500000US220710017253,163400,167000,-3600,-2.203182375
1500000US220710017254,176600,173700,2900,1.642129105
1500000US220710017301,145100,148600,-3500,-2.412129566
1500000US220710017341,229100,216400,12700,5.543430816
1500000US220710017351,155400,142900,12500,8.043758044
1500000US220710017352,141700,109600,32100,22.6534933
1500000US220710017361,-,-,,
1500000US220710017362,162700,165700,-3000,-1.84388445
1500000US220710017371,115600,116700,-1100,-0.951557093
1500000US220710017372,125000,127600,-2600,-2.08
1500000US220710017373,154800,155500,-700,-0.452196382
1500000US220710017391,189600,191400,-1800,-0.949367089
1500000US220710017392,188400,185000,3400,1.804670913
1500000US220710017401,163200,159900,3300,2.022058824
1500000US220710017402,182900,172800,10100,5.522143248
1500000US220710017403,168100,167700,400,0.237953599
1500000US220710017411,126300,120300,6000,4.750593824
1500000US220710017431,266500,258300,8200,3.076923077
1500000US220710017432,264700,272100,-7400,-2.79561768
1500000US220710017441,179200,161800,17400,9.709821429
1500000US220710017442,131300,154600,-23300,-17.74562072
1500000US220710017443,192600,258300,-65700,-34.11214953
1500000US220710017451,147000,145500,1500,1.020408163
1500000US220710017452,150600,151600,-1000,-0.664010624
1500000US220710017461,148300,150100,-1800,-1.2137559
1500000US220710017462,123800,122200,1600,1.292407108
1500000US220710017463,144100,149800,-5700,-3.955586398
1500000US220710017471,265300,271500,-6200,-2.336977007
1500000US220710017472,329200,326300,2900,0.880923451
1500000US220710017481,141800,142900,-1100,-0.77574048
1500000US220710017482,150700,152200,-1500,-0.99535501
1500000US220710017483,145400,144900,500,0.343878955
1500000US220710017484,139300,134500,4800,3.445800431
1500000US220710017491,140400,139800,600,0.427350427
1500000US220710017492,124200,122400,1800,1.449275362
1500000US220710017501,115000,124800,-9800,-8.52173913
1500000US220710017502,-,-,,
1500000US220710017503,54200,43900,10300,19.00369004
1500000US220710017511,204500,165600,38900,19.02200489
1500000US220710018001,330200,348800,-18600,-5.632949727
1500000US220710018002,351600,326900,24700,7.025028441
1500000US220710019001,102700,74400,28300,27.55598832
1500000US220710019002,147500,125800,21700,14.71186441
1500000US220710020001,167700,178300,-10600,-6.320810972
1500000US220710020002,127900,93700,34200,26.73964034
1500000US220710021001,127500,129600,-2100,-1.647058824
1500000US220710021002,127500,128600,-1100,-0.862745098
1500000US220710022001,119300,116400,2900,2.430846605
1500000US220710022002,135300,131700,3600,2.66075388
1500000US220710022003,125000,95000,30000,24
1500000US220710023001,109400,133000,-23600,-21.57221207
1500000US220710023002,161500,169800,-8300,-5.139318885
1500000US220710023003,161300,153300,8000,4.959702418
1500000US220710023004,113300,106300,7000,6.178287732
1500000US220710023005,139700,145800,-6100,-4.366499642
1500000US220710024011,161300,152400,8900,5.51766894
1500000US220710024012,150400,137300,13100,8.710106383
1500000US220710024021,155100,161000,-5900,-3.803997421
1500000US220710024022,112600,118600,-6000,-5.328596803
1500000US220710024023,158900,157700,1200,0.755191945
1500000US220710024024,173500,179900,-6400,-3.688760807
1500000US220710025011,183800,177800,6000,3.264417845
1500000US220710025012,195800,238900,-43100,-22.01225741
1500000US220710025013,117300,115400,1900,1.619778346
1500000US220710025014,179200,186400,-7200,-4.017857143
1500000US220710025021,145100,130100,15000,10.33769814
1500000US220710025022,158300,126600,31700,20.02526848
1500000US220710025023,140900,151000,-10100,-7.1682044
1500000US220710025024,123000,130900,-7900,-6.422764228
1500000US220710025031,190600,202100,-11500,-6.033578174
1500000US220710025032,185800,182000,3800,2.045209903
1500000US220710025033,187700,186800,900,0.479488546
1500000US220710025041,132700,148600,-15900,-11.98191409
1500000US220710025042,164500,166300,-1800,-1.094224924
1500000US220710025043,199700,201900,-2200,-1.101652479
1500000US220710025044,150600,166200,-15600,-10.35856574
1500000US220710026001,285300,246000,39300,13.77497371
1500000US220710026002,430000,361800,68200,15.86046512
1500000US220710027001,118400,137500,-19100,-16.13175676
1500000US220710027002,162500,121700,40800,25.10769231
1500000US220710028001,153000,151900,1100,0.718954248
1500000US220710028002,157800,162500,-4700,-2.978453739
1500000US220710028003,91200,88800,2400,2.631578947
1500000US220710029001,190600,182500,8100,4.249737671
1500000US220710029002,210400,94500,115900,55.08555133
1500000US220710029003,54400,56700,-2300,-4.227941176
1500000US220710030001,93800,90700,3100,3.304904051
1500000US220710030002,104500,98800,5700,5.454545455
1500000US220710031001,128400,81300,47100,36.68224299
1500000US220710031002,150800,156500,-5700,-3.779840849
1500000US220710033011,233500,232200,1300,0.556745182
1500000US220710033012,217400,209300,8100,3.725850966
1500000US220710033013,263500,232400,31100,11.80265655
1500000US220710033021,232900,202900,30000,12.88106483
1500000US220710033022,135800,131900,3900,2.871870398
1500000US220710033023,266900,237500,29400,11.01536156
1500000US220710033024,269400,221400,48000,17.81737194
1500000US220710033031,129200,150800,-21600,-16.71826625
1500000US220710033032,173800,163500,10300,5.926352129
1500000US220710033033,148400,146600,1800,1.212938005
1500000US220710033041,138000,157300,-19300,-13.98550725
1500000US220710033042,151100,133300,17800,11.78027796
1500000US220710033071,133000,121000,12000,9.022556391
1500000US220710033072,118500,154200,-35700,-30.12658228
1500000US220710033081,131900,127300,4600,3.487490523
1500000US220710033082,161500,158600,2900,1.795665635
1500000US220710033083,160600,158400,2200,1.369863014
1500000US220710033084,149300,153400,-4100,-2.746148694
1500000US220710033085,185700,101000,84700,45.61120086
1500000US220710033086,125000,175500,-50500,-40.4
1500000US220710034001,161000,161500,-500,-0.310559006
1500000US220710034002,134500,129500,5000,3.717472119
1500000US220710035001,110700,107600,3100,2.800361337
1500000US220710035002,132900,123200,9700,7.298720843
1500000US220710035003,231700,221400,10300,4.445403539
1500000US220710036001,151000,135000,16000,10.59602649
1500000US220710036002,132100,98800,33300,25.20817562
1500000US220710036003,191700,213200,-21500,-11.21544079
1500000US220710037011,161200,162200,-1000,-0.620347395
1500000US220710037012,160100,150000,10100,6.308557152
1500000US220710037021,179700,173600,6100,3.394546466
1500000US220710037022,160500,173200,-12700,-7.912772586
1500000US220710037023,162800,159800,3000,1.842751843
1500000US220710037024,159700,151000,8700,5.447714465
1500000US220710037025,277300,279000,-1700,-0.613054454
1500000US220710037026,289300,258900,30400,10.50812306
1500000US220710038001,327100,356000,-28900,-8.835218588
1500000US220710038002,612100,629000,-16900,-2.760986767
1500000US220710039001,269600,253100,16500,6.120178042
1500000US220710039002,264300,257700,6600,2.497162316
1500000US220710040001,98500,96400,2100,2.131979695
1500000US220710040002,151600,216200,-64600,-42.6121372
1500000US220710041001,344400,294600,49800,14.45993031
1500000US220710041002,380200,368200,12000,3.156233561
1500000US220710044011,137500,165000,-27500,-20
1500000US220710044012,81000,67500,13500,16.66666667
1500000US220710044013,114600,111800,2800,2.443280977
1500000US220710044021,-,-,,
1500000US220710044022,-,-,,
1500000US220710045002,216700,212800,3900,1.79972312
1500000US220710045003,234100,253700,-19600,-8.372490389
1500000US220710046001,367900,340700,27200,7.3933134
1500000US220710046002,354200,320700,33500,9.457933371
1500000US220710046003,262100,240800,21300,8.12666921
1500000US220710048001,-,-,,
1500000US220710049001,159400,258900,-99500,-62.42158093
1500000US220710049002,-,-,,
1500000US220710049003,-,-,,
1500000US220710049004,95600,91800,3800,3.974895397
1500000US220710050002,152600,123600,29000,19.00393185
1500000US220710054001,229400,212200,17200,7.497820401
1500000US220710054002,195300,194500,800,0.409626216
1500000US220710054003,316200,327800,-11600,-3.6685642
1500000US220710055001,298400,268900,29500,9.886058981
1500000US220710055002,251200,245600,5600,2.229299363
1500000US220710055003,285600,248300,37300,13.06022409
1500000US220710056011,358700,334500,24200,6.74658489
1500000US220710056012,369100,353700,15400,4.172311027
1500000US220710056013,347400,354800,-7400,-2.130109384
1500000US220710056014,323700,316700,7000,2.162496138
1500000US220710056021,457500,415500,42000,9.180327869
1500000US220710056022,374000,358900,15100,4.037433155
1500000US220710056023,345100,342900,2200,0.637496378
1500000US220710056024,342400,351100,-8700,-2.54088785
1500000US220710056031,314700,320800,-6100,-1.938353988
1500000US220710056032,271000,267900,3100,1.143911439
1500000US220710056033,279800,271400,8400,3.002144389
1500000US220710056041,372300,391300,-19000,-5.103411228
1500000US220710056042,392300,361900,30400,7.749171552
1500000US220710056043,313200,301300,11900,3.799489144
1500000US220710060001,137500,157300,-19800,-14.4
1500000US220710063001,267500,165300,102200,38.20560748
1500000US220710063002,102500,79200,23300,22.73170732
1500000US220710063003,203300,225000,-21700,-10.67388096
1500000US220710064001,231300,223500,7800,3.372243839
1500000US220710064002,255300,257500,-2200,-0.861731297
1500000US220710064003,154200,81700,72500,47.01686122
1500000US220710064004,295800,260000,35800,12.10277214
1500000US220710065001,217900,209400,8500,3.90087196
1500000US220710065002,271100,283900,-12800,-4.72150498
1500000US220710065003,234800,169800,65000,27.68313458
1500000US220710069001,-,-,,
1500000US220710069002,-,-,,
1500000US220710069003,-,-,,
1500000US220710070001,142200,141300,900,0.632911392
1500000US220710070002,192500,170000,22500,11.68831169
1500000US220710071011,147700,153500,-5800,-3.926878808
1500000US220710071012,161800,162500,-700,-0.43263288
1500000US220710072001,158300,151900,6400,4.042956412
1500000US220710072002,158300,75000,83300,52.62160455
1500000US220710072003,150000,157200,-7200,-4.8
1500000US220710075011,108800,97900,10900,10.01838235
1500000US220710075012,94800,91700,3100,3.270042194
1500000US220710075013,88800,95000,-6200,-6.981981982
1500000US220710075014,160900,106300,54600,33.93412057
1500000US220710075015,105300,77800,27500,26.11585945
1500000US220710075021,165600,158500,7100,4.287439614
1500000US220710075022,147700,141900,5800,3.926878808
1500000US220710075023,146400,123200,23200,15.84699454
1500000US220710075025,137500,117500,20000,14.54545455
1500000US220710076041,564600,571000,-6400,-1.133545873
1500000US220710076042,578100,588200,-10100,-1.747102577
1500000US220710076051,131300,68700,62600,47.6770754
1500000US220710076052,141400,137500,3900,2.758132956
1500000US220710076061,296300,290200,6100,2.058724266
1500000US220710076062,218200,182900,35300,16.17781852
1500000US220710076063,260300,269600,-9300,-3.572800615
1500000US220710077001,262800,269300,-6500,-2.473363775
1500000US220710078001,325800,294000,31800,9.760589319
1500000US220710082001,320400,325000,-4600,-1.435705368
1500000US220710082002,562500,252800,309700,55.05777778
1500000US220710083001,666700,644500,22200,3.329833508
1500000US220710083002,366700,371700,-5000,-1.363512408
1500000US220710084001,250000,257700,-7700,-3.08
1500000US220710084002,280000,327800,-47800,-17.07142857
1500000US220710085001,155600,150500,5100,3.277634961
1500000US220710085002,170300,201300,-31000,-18.20317087
1500000US220710086001,183300,168800,14500,7.910529187
1500000US220710086002,106300,111400,-5100,-4.797742239
1500000US220710088001,306400,302300,4100,1.338120104
1500000US220710088002,257900,246100,11800,4.575416828
1500000US220710090001,451500,447300,4200,0.930232558
1500000US220710090002,763900,680600,83300,10.90456866
1500000US220710090003,477000,559900,-82900,-17.37945493
1500000US220710091001,210200,206100,4100,1.950523311
1500000US220710091002,346700,120700,226000,65.1860398
1500000US220710091003,-,-,,
1500000US220710091004,162500,213900,-51400,-31.63076923
1500000US220710092001,235000,187500,47500,20.21276596
1500000US220710092002,142200,149300,-7100,-4.992967651
1500000US220710092003,93000,105000,-12000,-12.90322581
1500000US220710094002,-,120800,,
1500000US220710094003,-,-,,
1500000US220710094004,-,67900,,
1500000US220710096001,315800,288200,27600,8.739708676
1500000US220710096002,246300,259100,-12800,-5.196914332
1500000US220710096003,295500,272200,23300,7.884940778
1500000US220710097001,234400,221000,13400,5.716723549
1500000US220710097002,277200,264100,13100,4.725829726
1500000US220710099001,621400,621200,200,0.032185388
1500000US220710099002,534100,513600,20500,3.838232541
1500000US220710099003,378300,434600,-56300,-14.88236849
1500000US220710100002,-,150700,,
1500000US220710100003,235000,157500,77500,32.9787234
1500000US220710101001,198200,185700,12500,6.306760848
1500000US220710101002,359000,352000,7000,1.949860724
1500000US220710102001,-,-,,
1500000US220710102002,108900,96400,12500,11.47842057
1500000US220710102003,100000,99300,700,0.7
1500000US220710102004,313000,233300,79700,25.46325879
1500000US220710102005,233900,205000,28900,12.35570757
1500000US220710103001,127500,152300,-24800,-19.45098039
1500000US220710103002,264000,225000,39000,14.77272727
1500000US220710103003,303500,240800,62700,20.65897858
1500000US220710103004,331500,310400,21100,6.365007541
1500000US220710106001,361400,375000,-13600,-3.763143331
1500000US220710106002,248300,239700,8600,3.463552155
1500000US220710107001,485900,447800,38100,7.841119572
1500000US220710107002,519800,408300,111500,21.45055791
1500000US220710108001,606900,571400,35500,5.849398583
1500000US220710108002,411100,381800,29300,7.127219655
1500000US220710109001,274600,260900,13700,4.989075018
1500000US220710109002,318200,311400,6800,2.137020742
1500000US220710109003,528600,542400,-13800,-2.610669694
1500000US220710109004,229500,226000,3500,1.525054466
1500000US220710111001,115000,87300,27700,24.08695652
1500000US220710111002,224600,225000,-400,-0.17809439
1500000US220710111003,284800,297700,-12900,-4.529494382
1500000US220710112001,373700,383300,-9600,-2.568905539
1500000US220710112002,256300,267900,-11600,-4.525946157
1500000US220710114001,443800,426500,17300,3.898152321
1500000US220710114002,610000,505400,104600,17.14754098
1500000US220710115001,587700,423500,164200,27.93942488
1500000US220710115002,489800,446000,43800,8.94242548
1500000US220710116001,524600,521300,3300,0.629050705
1500000US220710116002,667900,585200,82700,12.38209313
1500000US220710117001,480600,411100,69500,14.4610903
1500000US220710117002,1079500,911100,168400,15.59981473
1500000US220710117003,907700,833300,74400,8.196540707
1500000US220710117004,783600,704300,79300,10.11995916
1500000US220710119001,417100,424100,-7000,-1.678254615
1500000US220710119002,397700,381800,15900,3.997988433
1500000US220710119003,370600,343800,26800,7.23151646
1500000US220710120001,616800,608500,8300,1.345654994
1500000US220710120002,848500,645800,202700,23.88921626
1500000US220710121011,356500,292700,63800,17.89621318
1500000US220710121012,531300,488200,43100,8.112177677
1500000US220710121021,573500,494400,79100,13.79250218
1500000US220710121023,803000,686200,116800,14.54545455
1500000US220710122001,368700,361800,6900,1.871440195
1500000US220710122002,348400,331900,16500,4.735935706
1500000US220710123001,166400,162500,3900,2.34375
1500000US220710123002,240600,215800,24800,10.30756442
1500000US220710123003,298200,296400,1800,0.60362173
1500000US220710124001,291200,157100,134100,46.05082418
1500000US220710124002,386800,325600,61200,15.8221303
1500000US220710125001,533300,494200,39100,7.331708232
1500000US220710125002,259100,245300,13800,5.326128908
1500000US220710126001,466700,387500,79200,16.97021641
1500000US220710126002,305800,277600,28200,9.221713538
1500000US220710126003,475000,483300,-8300,-1.747368421
1500000US220710127001,195800,260500,-64700,-33.04392237
1500000US220710127002,270200,256900,13300,4.922279793
1500000US220710127003,250700,242900,7800,3.111288393
1500000US220710127004,350000,333300,16700,4.771428571
1500000US220710128001,273000,264500,8500,3.113553114
1500000US220710128002,418100,401200,16900,4.042095193
1500000US220710128003,328100,316000,12100,3.68790003
1500000US220710129001,271900,304500,-32600,-11.9897021
1500000US220710129002,222000,231400,-9400,-4.234234234
1500000US220710130001,200000,200000,0,0
1500000US220710130002,350000,311700,38300,10.94285714
1500000US220710130003,214700,211300,3400,1.58360503
1500000US220710131001,94700,97800,-3100,-3.273495248
1500000US220710131002,130400,92000,38400,29.44785276
1500000US220710131003,126100,131800,-5700,-4.520222046
1500000US220710131004,110400,106700,3700,3.351449275
1500000US220710132001,208500,187000,21500,10.3117506
1500000US220710132002,233300,231500,1800,0.771538791
1500000US220710132003,277500,219700,57800,20.82882883
1500000US220710132004,237500,207600,29900,12.58947368
1500000US220710133011,397800,428500,-30700,-7.717445953
1500000US220710133012,444900,457500,-12600,-2.8320971
1500000US220710133013,455400,395900,59500,13.06543698
1500000US220710133014,353100,343700,9400,2.662135372
1500000US220710133021,341100,335700,5400,1.583113456
1500000US220710133022,389900,400900,-11000,-2.821236214
1500000US220710134001,432300,428000,4300,0.994679621
1500000US220710134002,453600,368200,85400,18.82716049
1500000US220710134003,256300,249000,7300,2.848224737
1500000US220710135001,337500,334600,2900,0.859259259
1500000US220710135002,450000,445000,5000,1.111111111
1500000US220710135003,400000,357100,42900,10.725
1500000US220710135004,762100,785300,-23200,-3.044219919
1500000US220710136001,224200,216400,7800,3.479036574
1500000US220710136002,164700,143100,21600,13.1147541
1500000US220710137001,-,-,,
1500000US220710137002,152600,95800,56800,37.2214941
1500000US220710137003,-,-,,
1500000US220710137004,117800,115500,2300,1.9524618
1500000US220710138001,161500,162500,-1000,-0.619195046
1500000US220710138002,-,-,,
1500000US220710138003,174300,155600,18700,10.7286288
1500000US220710139001,275000,335400,-60400,-21.96363636
1500000US220710139002,353100,352000,1100,0.31152648
1500000US220710140001,-,-,,
1500000US220710140002,-,-,,
1500000US220710140003,151400,159000,-7600,-5.019815059
1500000US220710140004,-,-,,
1500000US220710141001,183600,184500,-900,-0.490196078
1500000US220710142001,345800,216700,129100,37.33371891
1500000US220710142002,271800,235100,36700,13.50257542
1500000US220710142003,223500,163400,60100,26.89038031
1500000US220710143001,-,-,,
1500000US220710143002,-,-,,
1500000US220710143003,111100,105700,5400,4.860486049
1500000US220710144001,233300,261800,-28500,-12.21603086
1500000US220710144002,281500,274300,7200,2.557726465
1500000US220710144003,342900,305600,37300,10.87780694
1500000US220710145001,-,-,,
1500000US220719800001,-,-,,
1500000US220719801001,-,-,,
1500000US220719900000,-,-,,