Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
1500000US220710019002,2.21E+11,"Block Group 2, Census Tract 19, Orleans Parish, Louisiana",361,59,261,58,100,51
1500000US220710019003,2.21E+11,"Block Group 3, Census Tract 19, Orleans Parish, Louisiana",307,72,245,70,62,38
1500000US220710020001,2.21E+11,"Block Group 1, Census Tract 20, Orleans Parish, Louisiana",271,72,212,63,59,43
1500000US220710020002,2.21E+11,"Block Group 2, Census Tract 20, Orleans Parish, Louisiana",253,71,197,65,56,35
1500000US220710020003,2.21E+11,"Block Group 3, Census Tract 20, Orleans Parish, Louisiana",131,63,107,46,24,38
1500000US220710021001,2.21E+11,"Block Group 1, Census Tract 21, Orleans Parish, Louisiana",208,60,158,57,50,32
1500000US220710021002,2.21E+11,"Block Group 2, Census Tract 21, Orleans Parish, Louisiana",270,54,209,47,61,47
1500000US220710022001,2.21E+11,"Block Group 1, Census Tract 22, Orleans Parish, Louisiana",159,53,125,44,34,34
1500000US220710022002,2.21E+11,"Block Group 2, Census Tract 22, Orleans Parish, Louisiana",226,53,181,43,45,37
1500000US220710022003,2.21E+11,"Block Group 3, Census Tract 22, Orleans Parish, Louisiana",188,56,96,44,92,50
1500000US220710023001,2.21E+11,"Block Group 1, Census Tract 23, Orleans Parish, Louisiana",84,38,59,27,25,27
1500000US220710023002,2.21E+11,"Block Group 2, Census Tract 23, Orleans Parish, Louisiana",150,53,114,56,36,34
1500000US220710023003,2.21E+11,"Block Group 3, Census Tract 23, Orleans Parish, Louisiana",100,50,68,45,32,24
1500000US220710023004,2.21E+11,"Block Group 4, Census Tract 23, Orleans Parish, Louisiana",125,48,101,42,24,27
1500000US220710023005,2.21E+11,"Block Group 5, Census Tract 23, Orleans Parish, Louisiana",627,86,475,88,152,71
1500000US220710024011,2.21E+11,"Block Group 1, Census Tract 24.01, Orleans Parish, Louisiana",481,77,414,75,67,49
1500000US220710024012,2.21E+11,"Block Group 2, Census Tract 24.01, Orleans Parish, Louisiana",457,79,355,78,102,73
1500000US220710024021,2.21E+11,"Block Group 1, Census Tract 24.02, Orleans Parish, Louisiana",232,69,168,68,64,47
1500000US220710024022,2.21E+11,"Block Group 2, Census Tract 24.02, Orleans Parish, Louisiana",546,122,355,110,191,90
1500000US220710024023,2.21E+11,"Block Group 3, Census Tract 24.02, Orleans Parish, Louisiana",344,83,276,84,68,60
1500000US220710024024,2.21E+11,"Block Group 4, Census Tract 24.02, Orleans Parish, Louisiana",512,92,419,83,93,73
1500000US220710025011,2.21E+11,"Block Group 1, Census Tract 25.01, Orleans Parish, Louisiana",343,68,278,64,65,52
1500000US220710025012,2.21E+11,"Block Group 2, Census Tract 25.01, Orleans Parish, Louisiana",205,55,161,52,44,39
1500000US220710025013,2.21E+11,"Block Group 3, Census Tract 25.01, Orleans Parish, Louisiana",165,48,105,41,60,46
1500000US220710025014,2.21E+11,"Block Group 4, Census Tract 25.01, Orleans Parish, Louisiana",187,52,130,37,57,33
1500000US220710025021,2.21E+11,"Block Group 1, Census Tract 25.02, Orleans Parish, Louisiana",383,75,320,67,63,42
1500000US220710025022,2.21E+11,"Block Group 2, Census Tract 25.02, Orleans Parish, Louisiana",271,59,179,56,92,51
1500000US220710025023,2.21E+11,"Block Group 3, Census Tract 25.02, Orleans Parish, Louisiana",206,59,142,52,64,39
1500000US220710025024,2.21E+11,"Block Group 4, Census Tract 25.02, Orleans Parish, Louisiana",189,45,171,48,18,20
1500000US220710025031,2.21E+11,"Block Group 1, Census Tract 25.03, Orleans Parish, Louisiana",216,64,150,45,66,56
1500000US220710025032,2.21E+11,"Block Group 2, Census Tract 25.03, Orleans Parish, Louisiana",395,83,377,82,18,29
1500000US220710025033,2.21E+11,"Block Group 3, Census Tract 25.03, Orleans Parish, Louisiana",286,62,281,63,5,10
1500000US220710025041,2.21E+11,"Block Group 1, Census Tract 25.04, Orleans Parish, Louisiana",281,66,191,57,90,51
1500000US220710025042,2.21E+11,"Block Group 2, Census Tract 25.04, Orleans Parish, Louisiana",391,64,328,59,63,46
1500000US220710025043,2.21E+11,"Block Group 3, Census Tract 25.04, Orleans Parish, Louisiana",204,48,181,46,23,25
1500000US220710025044,2.21E+11,"Block Group 4, Census Tract 25.04, Orleans Parish, Louisiana",312,66,229,53,83,53
1500000US220710026001,2.21E+11,"Block Group 1, Census Tract 26, Orleans Parish, Louisiana",550,88,450,92,100,75
1500000US220710026002,2.21E+11,"Block Group 2, Census Tract 26, Orleans Parish, Louisiana",756,116,528,108,228,107
1500000US220710027001,2.21E+11,"Block Group 1, Census Tract 27, Orleans Parish, Louisiana",414,85,205,60,209,77
1500000US220710027002,2.21E+11,"Block Group 2, Census Tract 27, Orleans Parish, Louisiana",299,68,261,69,38,29
1500000US220710027003,2.21E+11,"Block Group 3, Census Tract 27, Orleans Parish, Louisiana",235,62,149,54,86,44
1500000US220710028001,2.21E+11,"Block Group 1, Census Tract 28, Orleans Parish, Louisiana",260,52,170,43,90,45
1500000US220710028002,2.21E+11,"Block Group 2, Census Tract 28, Orleans Parish, Louisiana",429,76,269,62,160,60
1500000US220710028003,2.21E+11,"Block Group 3, Census Tract 28, Orleans Parish, Louisiana",229,61,202,61,27,24
1500000US220710029001,2.21E+11,"Block Group 1, Census Tract 29, Orleans Parish, Louisiana",215,63,209,64,6,8
1500000US220710029002,2.21E+11,"Block Group 2, Census Tract 29, Orleans Parish, Louisiana",239,68,147,61,92,54
1500000US220710029003,2.21E+11,"Block Group 3, Census Tract 29, Orleans Parish, Louisiana",318,86,208,84,110,56
1500000US220710030001,2.21E+11,"Block Group 1, Census Tract 30, Orleans Parish, Louisiana",382,70,213,58,169,63
1500000US220710030002,2.21E+11,"Block Group 2, Census Tract 30, Orleans Parish, Louisiana",396,78,268,65,128,53
1500000US220710031001,2.21E+11,"Block Group 1, Census Tract 31, Orleans Parish, Louisiana",202,75,147,67,55,38
1500000US220710031002,2.21E+11,"Block Group 2, Census Tract 31, Orleans Parish, Louisiana",503,78,303,75,200,80
1500000US220710033011,2.21E+11,"Block Group 1, Census Tract 33.01, Orleans Parish, Louisiana",429,65,300,57,129,81
1500000US220710033012,2.21E+11,"Block Group 2, Census Tract 33.01, Orleans Parish, Louisiana",325,83,252,72,73,49
1500000US220710033013,2.21E+11,"Block Group 3, Census Tract 33.01, Orleans Parish, Louisiana",211,59,129,39,82,47
1500000US220710033021,2.21E+11,"Block Group 1, Census Tract 33.02, Orleans Parish, Louisiana",231,70,231,70,0,12
1500000US220710033022,2.21E+11,"Block Group 2, Census Tract 33.02, Orleans Parish, Louisiana",514,81,398,78,116,65
1500000US220710033023,2.21E+11,"Block Group 3, Census Tract 33.02, Orleans Parish, Louisiana",470,80,371,79,99,66
1500000US220710033024,2.21E+11,"Block Group 4, Census Tract 33.02, Orleans Parish, Louisiana",241,65,214,64,27,30
1500000US220710033031,2.21E+11,"Block Group 1, Census Tract 33.03, Orleans Parish, Louisiana",409,78,356,70,53,50
1500000US220710033032,2.21E+11,"Block Group 2, Census Tract 33.03, Orleans Parish, Louisiana",399,80,307,81,92,59
1500000US220710033033,2.21E+11,"Block Group 3, Census Tract 33.03, Orleans Parish, Louisiana",203,56,176,52,27,30
1500000US220710033041,2.21E+11,"Block Group 1, Census Tract 33.04, Orleans Parish, Louisiana",466,69,392,64,74,41
1500000US220710033042,2.21E+11,"Block Group 2, Census Tract 33.04, Orleans Parish, Louisiana",473,62,373,60,100,54
1500000US220710033071,2.21E+11,"Block Group 1, Census Tract 33.07, Orleans Parish, Louisiana",477,55,334,66,143,66
1500000US220710033072,2.21E+11,"Block Group 2, Census Tract 33.07, Orleans Parish, Louisiana",258,50,231,47,27,26
1500000US220710033081,2.21E+11,"Block Group 1, Census Tract 33.08, Orleans Parish, Louisiana",239,71,131,54,108,56
1500000US220710033082,2.21E+11,"Block Group 2, Census Tract 33.08, Orleans Parish, Louisiana",344,75,269,75,75,58
1500000US220710033083,2.21E+11,"Block Group 3, Census Tract 33.08, Orleans Parish, Louisiana",640,101,500,89,140,79
1500000US220710033084,2.21E+11,"Block Group 4, Census Tract 33.08, Orleans Parish, Louisiana",256,73,215,63,41,47
1500000US220710033085,2.21E+11,"Block Group 5, Census Tract 33.08, Orleans Parish, Louisiana",243,69,199,66,44,30
1500000US220710033086,2.21E+11,"Block Group 6, Census Tract 33.08, Orleans Parish, Louisiana",101,52,47,32,54,39
1500000US220710034001,2.21E+11,"Block Group 1, Census Tract 34, Orleans Parish, Louisiana",390,65,276,63,114,51
1500000US220710034002,2.21E+11,"Block Group 2, Census Tract 34, Orleans Parish, Louisiana",538,68,408,79,130,55
1500000US220710035001,2.21E+11,"Block Group 1, Census Tract 35, Orleans Parish, Louisiana",300,59,237,54,63,35
1500000US220710035002,2.21E+11,"Block Group 2, Census Tract 35, Orleans Parish, Louisiana",277,61,165,56,112,46
1500000US220710035003,2.21E+11,"Block Group 3, Census Tract 35, Orleans Parish, Louisiana",275,58,218,55,57,38
1500000US220710036001,2.21E+11,"Block Group 1, Census Tract 36, Orleans Parish, Louisiana",247,44,210,47,37,27
1500000US220710036002,2.21E+11,"Block Group 2, Census Tract 36, Orleans Parish, Louisiana",474,58,395,55,79,39
1500000US220710036003,2.21E+11,"Block Group 3, Census Tract 36, Orleans Parish, Louisiana",270,60,208,59,62,36
1500000US220710037011,2.21E+11,"Block Group 1, Census Tract 37.01, Orleans Parish, Louisiana",886,81,782,91,104,63
1500000US220710037012,2.21E+11,"Block Group 2, Census Tract 37.01, Orleans Parish, Louisiana",248,58,248,58,0,12
1500000US220710037021,2.21E+11,"Block Group 1, Census Tract 37.02, Orleans Parish, Louisiana",435,103,320,98,115,66
1500000US220710037022,2.21E+11,"Block Group 2, Census Tract 37.02, Orleans Parish, Louisiana",380,104,293,89,87,74
1500000US220710037023,2.21E+11,"Block Group 3, Census Tract 37.02, Orleans Parish, Louisiana",222,68,179,68,43,40
1500000US220710037024,2.21E+11,"Block Group 4, Census Tract 37.02, Orleans Parish, Louisiana",309,85,255,77,54,50
1500000US220710037025,2.21E+11,"Block Group 5, Census Tract 37.02, Orleans Parish, Louisiana",293,79,228,79,65,57
1500000US220710037026,2.21E+11,"Block Group 6, Census Tract 37.02, Orleans Parish, Louisiana",491,108,380,101,111,69
1500000US220710038001,2.21E+11,"Block Group 1, Census Tract 38, Orleans Parish, Louisiana",735,118,437,101,298,100
1500000US220710038002,2.21E+11,"Block Group 2, Census Tract 38, Orleans Parish, Louisiana",935,121,420,104,515,143
1500000US220710039001,2.21E+11,"Block Group 1, Census Tract 39, Orleans Parish, Louisiana",464,59,303,54,161,52
1500000US220710039002,2.21E+11,"Block Group 2, Census Tract 39, Orleans Parish, Louisiana",492,63,362,71,130,53
1500000US220710040001,2.21E+11,"Block Group 1, Census Tract 40, Orleans Parish, Louisiana",579,92,393,108,186,84
1500000US220710040002,2.21E+11,"Block Group 2, Census Tract 40, Orleans Parish, Louisiana",665,92,528,104,137,59
1500000US220710041001,2.21E+11,"Block Group 1, Census Tract 41, Orleans Parish, Louisiana",545,63,437,77,108,44
1500000US220710041002,2.21E+11,"Block Group 2, Census Tract 41, Orleans Parish, Louisiana",372,62,352,58,20,27
1500000US220710044011,2.21E+11,"Block Group 1, Census Tract 44.01, Orleans Parish, Louisiana",315,70,179,62,136,59
1500000US220710044012,2.21E+11,"Block Group 2, Census Tract 44.01, Orleans Parish, Louisiana",271,65,153,58,118,45
1500000US220710044013,2.21E+11,"Block Group 3, Census Tract 44.01, Orleans Parish, Louisiana",351,76,227,62,124,53
1500000US220710044021,2.21E+11,"Block Group 1, Census Tract 44.02, Orleans Parish, Louisiana",37,62,37,62,0,12
1500000US220710044022,2.21E+11,"Block Group 2, Census Tract 44.02, Orleans Parish, Louisiana",0,12,0,12,0,12
1500000US220710045001,2.21E+11,"Block Group 1, Census Tract 45, Orleans Parish, Louisiana",307,65,225,68,82,49
1500000US220710045002,2.21E+11,"Block Group 2, Census Tract 45, Orleans Parish, Louisiana",533,78,338,75,195,68
1500000US220710045003,2.21E+11,"Block Group 3, Census Tract 45, Orleans Parish, Louisiana",586,80,479,95,107,59
1500000US220710046001,2.21E+11,"Block Group 1, Census Tract 46, Orleans Parish, Louisiana",291,69,269,68,22,35
1500000US220710046002,2.21E+11,"Block Group 2, Census Tract 46, Orleans Parish, Louisiana",892,98,804,94,88,63
1500000US220710046003,2.21E+11,"Block Group 3, Census Tract 46, Orleans Parish, Louisiana",491,93,428,89,63,57
1500000US220710048001,2.21E+11,"Block Group 1, Census Tract 48, Orleans Parish, Louisiana",702,88,376,94,326,80
1500000US220710049001,2.21E+11,"Block Group 1, Census Tract 49, Orleans Parish, Louisiana",384,72,296,77,88,42
1500000US220710049002,2.21E+11,"Block Group 2, Census Tract 49, Orleans Parish, Louisiana",441,81,234,64,207,75
1500000US220710049003,2.21E+11,"Block Group 3, Census Tract 49, Orleans Parish, Louisiana",56,52,12,19,44,49
1500000US220710049004,2.21E+11,"Block Group 4, Census Tract 49, Orleans Parish, Louisiana",152,47,119,43,33,30
1500000US220710050001,2.21E+11,"Block Group 1, Census Tract 50, Orleans Parish, Louisiana",358,55,302,57,56,31
1500000US220710050002,2.21E+11,"Block Group 2, Census Tract 50, Orleans Parish, Louisiana",361,59,303,59,58,36
1500000US220710054001,2.21E+11,"Block Group 1, Census Tract 54, Orleans Parish, Louisiana",355,90,329,89,26,41
1500000US220710054002,2.21E+11,"Block Group 2, Census Tract 54, Orleans Parish, Louisiana",492,115,324,99,168,83
1500000US220710054003,2.21E+11,"Block Group 3, Census Tract 54, Orleans Parish, Louisiana",441,88,350,83,91,64
1500000US220710055001,2.21E+11,"Block Group 1, Census Tract 55, Orleans Parish, Louisiana",473,74,437,74,36,33
1500000US220710055002,2.21E+11,"Block Group 2, Census Tract 55, Orleans Parish, Louisiana",514,86,401,74,113,67
1500000US220710055003,2.21E+11,"Block Group 3, Census Tract 55, Orleans Parish, Louisiana",396,78,370,74,26,41
1500000US220710056011,2.21E+11,"Block Group 1, Census Tract 56.01, Orleans Parish, Louisiana",313,63,257,62,56,39
1500000US220710056012,2.21E+11,"Block Group 2, Census Tract 56.01, Orleans Parish, Louisiana",280,55,252,55,28,26
1500000US220710056013,2.21E+11,"Block Group 3, Census Tract 56.01, Orleans Parish, Louisiana",224,37,176,33,48,30
1500000US220710056014,2.21E+11,"Block Group 4, Census Tract 56.01, Orleans Parish, Louisiana",238,44,191,37,47,31
1500000US220710056021,2.21E+11,"Block Group 1, Census Tract 56.02, Orleans Parish, Louisiana",186,56,156,39,30,46
1500000US220710056022,2.21E+11,"Block Group 2, Census Tract 56.02, Orleans Parish, Louisiana",367,64,327,51,40,48
1500000US220710056023,2.21E+11,"Block Group 3, Census Tract 56.02, Orleans Parish, Louisiana",295,56,295,56,0,12
1500000US220710056024,2.21E+11,"Block Group 4, Census Tract 56.02, Orleans Parish, Louisiana",191,56,173,55,18,27
1500000US220710056031,2.21E+11,"Block Group 1, Census Tract 56.03, Orleans Parish, Louisiana",270,60,215,44,55,49
1500000US220710056032,2.21E+11,"Block Group 2, Census Tract 56.03, Orleans Parish, Louisiana",270,52,228,48,42,41
1500000US220710056033,2.21E+11,"Block Group 3, Census Tract 56.03, Orleans Parish, Louisiana",180,43,168,44,12,20
1500000US220710056041,2.21E+11,"Block Group 1, Census Tract 56.04, Orleans Parish, Louisiana",195,57,195,57,0,12
1500000US220710056042,2.21E+11,"Block Group 2, Census Tract 56.04, Orleans Parish, Louisiana",268,56,229,44,39,49
1500000US220710056043,2.21E+11,"Block Group 3, Census Tract 56.04, Orleans Parish, Louisiana",211,41,174,39,37,40
1500000US220710060001,2.21E+11,"Block Group 1, Census Tract 60, Orleans Parish, Louisiana",678,52,584,66,94,44
1500000US220710063001,2.21E+11,"Block Group 1, Census Tract 63, Orleans Parish, Louisiana",430,70,363,68,67,46
1500000US220710063002,2.21E+11,"Block Group 2, Census Tract 63, Orleans Parish, Louisiana",144,50,77,40,67,37
1500000US220710063003,2.21E+11,"Block Group 3, Census Tract 63, Orleans Parish, Louisiana",341,66,229,61,112,57
1500000US220710064001,2.21E+11,"Block Group 1, Census Tract 64, Orleans Parish, Louisiana",368,62,253,60,115,52
1500000US220710064002,2.21E+11,"Block Group 2, Census Tract 64, Orleans Parish, Louisiana",427,82,331,78,96,54
1500000US220710064003,2.21E+11,"Block Group 3, Census Tract 64, Orleans Parish, Louisiana",259,65,202,63,57,47
1500000US220710064004,2.21E+11,"Block Group 4, Census Tract 64, Orleans Parish, Louisiana",403,76,242,60,161,71
1500000US220710065001,2.21E+11,"Block Group 1, Census Tract 65, Orleans Parish, Louisiana",461,74,418,75,43,39
1500000US220710065002,2.21E+11,"Block Group 2, Census Tract 65, Orleans Parish, Louisiana",428,70,375,68,53,40
1500000US220710065003,2.21E+11,"Block Group 3, Census Tract 65, Orleans Parish, Louisiana",530,87,391,76,139,65
1500000US220710069001,2.21E+11,"Block Group 1, Census Tract 69, Orleans Parish, Louisiana",132,37,103,37,29,24
1500000US220710069002,2.21E+11,"Block Group 2, Census Tract 69, Orleans Parish, Louisiana",36,32,19,17,17,28
1500000US220710069003,2.21E+11,"Block Group 3, Census Tract 69, Orleans Parish, Louisiana",260,43,153,40,107,38
1500000US220710070001,2.21E+11,"Block Group 1, Census Tract 70, Orleans Parish, Louisiana",90,45,70,44,20,21
1500000US220710070002,2.21E+11,"Block Group 2, Census Tract 70, Orleans Parish, Louisiana",194,51,136,38,58,34
1500000US220710071011,2.21E+11,"Block Group 1, Census Tract 71.01, Orleans Parish, Louisiana",402,66,329,63,73,32
1500000US220710071012,2.21E+11,"Block Group 2, Census Tract 71.01, Orleans Parish, Louisiana",1005,69,790,88,215,78
1500000US220710072001,2.21E+11,"Block Group 1, Census Tract 72, Orleans Parish, Louisiana",710,82,630,88,80,41
1500000US220710072002,2.21E+11,"Block Group 2, Census Tract 72, Orleans Parish, Louisiana",348,77,278,81,70,41
1500000US220710072003,2.21E+11,"Block Group 3, Census Tract 72, Orleans Parish, Louisiana",189,65,119,48,70,50
1500000US220710075011,2.21E+11,"Block Group 1, Census Tract 75.01, Orleans Parish, Louisiana",219,70,206,70,13,21
1500000US220710075012,2.21E+11,"Block Group 2, Census Tract 75.01, Orleans Parish, Louisiana",316,72,220,64,96,58
1500000US220710075013,2.21E+11,"Block Group 3, Census Tract 75.01, Orleans Parish, Louisiana",314,68,217,69,97,65
1500000US220710075014,2.21E+11,"Block Group 4, Census Tract 75.01, Orleans Parish, Louisiana",217,64,188,66,29,34
1500000US220710075015,2.21E+11,"Block Group 5, Census Tract 75.01, Orleans Parish, Louisiana",213,70,139,66,74,43
1500000US220710075021,2.21E+11,"Block Group 1, Census Tract 75.02, Orleans Parish, Louisiana",161,69,116,61,45,36
1500000US220710075022,2.21E+11,"Block Group 2, Census Tract 75.02, Orleans Parish, Louisiana",268,79,131,65,137,78
1500000US220710075023,2.21E+11,"Block Group 3, Census Tract 75.02, Orleans Parish, Louisiana",326,60,311,64,15,25
1500000US220710075024,2.21E+11,"Block Group 4, Census Tract 75.02, Orleans Parish, Louisiana",329,84,162,70,167,75
1500000US220710075025,2.21E+11,"Block Group 5, Census Tract 75.02, Orleans Parish, Louisiana",442,87,287,84,155,73
1500000US220710076041,2.21E+11,"Block Group 1, Census Tract 76.04, Orleans Parish, Louisiana",426,60,369,63,57,39
1500000US220710076042,2.21E+11,"Block Group 2, Census Tract 76.04, Orleans Parish, Louisiana",301,47,286,40,15,25
